"museumid","sitename","vesselname","protected","origin","launchedy","periodc","vesseltype","purpose","propulsion","lengthm","beamm","tonnagebrt","physicaldescription","biography","wrecked","latitude","longitude","locationdescription","shipwreckingcause","shipwreckingy","depthm","toponym","locationtype","storyofshipwrecking","discoveryy","storyofdiscovery","objectsrecovered","text"
6191,"Amga","Amga","no",NA,NA,"20. sajand","aurik","abilaev","aurulaev",NA,NA,NA,"Aurik, suvendajapraam","26.-30.07.1941 - laevahukk 2002 - sonariotsingud","yes",NA,NA,"Ninase poolsaare lahistel","torpeedo voi miin",1941,NA,"Ninase","poolsaar","Hukkus Ninase poolsaare lahistel, 26.-30.07.1941.a. (allveelaeva torpeedo?, pohjamiin?)",NA,"Otsitud sonariga 2002.aastal, leidmata. Kuuldavasti ASPTR poolt ules tostetud.","no","Amga, Raj. VI -  , aurik, suvendajapraam, hukkus Ninase poolsaare lahistel, 26.-30.07.1941.a. (allveelaeva torpeedo?, pohjamiin?) Otsitud sonariga 2002.aastal, leidmata. Kuuldavasti ASPTR poolt ules tostetud. (A1 lk.43, A204 lk.214)"
3107,"Petsora","Petsora","no","Venemaa","1910","20. sajand","aurik","abilaev","aurulaev","73.24","10.97","1982","sojavae abilaev (ujuvtookoda)","1910-1912 - ehitamine, Venemaa 11.08.1915 ukj - laevahukk 2009 - avastamine","yes",59.546616621036,24.3616698695924,"Naissaare lahistel","torpeedo",1915,NA,"Naissaar","saarelahedane","Hukkus torpedeerituna U-26 poolt 11.08.1915.a.(vana kalendri jargi 25.08.1915.a.) Naissaare lahistel.","2009","Leitud 2009. aastal","no","Petsora, Raj. III -   , aurik, sojavae abilaev (ujuvtookoda), ehit. 1910-1912 Venemaal, 1982 BRT, L=73,24 m  B=10,97 m, hukkus torpedeerituna U-26 poolt 11.08.1915.a.(vana kalendri jargi 25.08.1915.a.) Naissaare lahistel. Leitud 2009.a. koordinaatides 59*32,800<U+00B4>N; 24*21,690<U+00B4>E.(A82 lk.22, A83 lk.60-61, foto, sonari pildid, Lutt)"
749,"Idumea","Idumea","no","Soome","1899","19. sajand","jaamurdja","abilaev",NA,"33.4","6.09",NA,"Jaamurdja tuupi puksiir, 400 HJ","1899 - ehitamine, Soome 12.03.1917 - laevahukk","yes",NA,NA,"Abruka paralleelil, ligikaudu 8 miili ? Viirelaiust S pool","jaa",1917,NA,"Viirelaid","saarelahedane","Hukkus jaa surve tottu 12.03.1917.a.teel Virtsust Riiga (Abruka paralleelil), ligikaudu 8 miili (?) Viirelaiust S pool.",NA,"Leidmata","no","Idumea, Raj. VII -   , jaamurdja tuupi puksiir, ehit. 1899 Soomes, L=33,40 m  B=6,09 m, 400 HJ, hukkus jaa surve tottu 12.03.1917.a.teel Virtsust Riiga (Abruka paralleelil), ligikaudu 8 miili (?) Viirelaiust S pool. Leidmata. (A76, A87)"
760,"Riga","Riga","no","Lati","1878","19. sajand","puksiir","abilaev","aurulaev","18.8","3.3",NA,"Masina voimsus 60 HJ.","1878 - ehitamine, Riia, Lati 12.03.1917 - laevahukk","yes",NA,NA,NA,"jaa",1917,"14 sulda",NA,NA,"Hukkus 12.03.1917.a. teel Virtsust Riiga jaa surve tottu.",NA,"Leidmata","no","Riga, Raj. VII -  , aurupuksiir, ehit.1878 Riias, pikkus 18,8 m, laius 3,3 m, suvis 1,8 meetrit, masina voimsus 60 HJ, hukkus 12.03.1917.a. teel Virtsust Riiga jaa surve tottu (Abruka paralleelil), ligikaudu 8 miili (?) Viirelaiust S pool, lebab 14 sulla sugavusel. Leidmata. (A87)"
3118,"NT 17","NT 17","no","Saksamaa","1914","20. sajand","puksiir","abilaev","aurulaev","25.23","6.05","108","Saksa 1-tekiline aurupukser, 108 brt, mootmed 25,23 x 6,05 x 2,97 m, aurumasin 430 HJ, 1 katel, kiirus 10 solme. Vraki pikkus ca 25-30 m, laius 7,50 m, teistel andmetel 34x14x4 m.","1914 - ehitamine, Lubeck, Saksamaa. Kompanii: Lubecker Maschinenbau-Ges II maailmasoda - teenistus allveelaevade tokkevorkude paigaldusel 18.04.1943 - laevahukk 01.09.2011 - kontrollimine sonariga","yes",59.6372876188841,24.4027579989,"Naissaare N otsast 3,7 miili NW poole","torm",1943,"85","Naissaar","saarelahedane","II maailmasoja paevil oli teenistuses allveelaevade tokkevorkude paigaldusel, hukkus Soome lahes 18. aprillil 1943. aastal. Laks tormiga umber vorgulaadungi nihkumise tottu. Inimohvreid ei olnud.",NA,"Kalatraalerid on sealt valja tommanud masti. Kontrollitud Mare sonariga 01.09.2011.a.","yes","NT 17 (Falkenstein, Stubbenhuk), Raj. III -  , Saksa 1-tekiline aurupukser, 108 brt, mootmed 25,23 x 6,05 x 2,97 m, aurumasin 430 HJ, 1 katel, kiirus 10 solme, ehit. Lubecker Maschinenbau-Ges poolt 1914. aastal, II maailmasoja paevil oli teenistuses allveelaevade tokkevorkude paigaldusel, hukkus Soome lahes 18. aprillil 1943. aastal. Laks tormiga umber vorgulaadungi nihkumise tottu. Inimohvreid ei olnud. (A Groner III Koblenz 1985, Lutt, A417); Mastilaev, Raj. III -  , Naissaarest NW pool asuv purjelaeva vrakk, mootudega ca 34 x 15 x 4 meetrit. Sugavus 85 m. Kalatraalerid on sealt valja tommanud masti. Kontrollitud Mare sonariga 01.09.2011.a. Fikseeritud uppunud puksiir koordinaatides 59*38,2210<U+00B4>N; 24*24,1600<U+00B4>E. (B Ojase, Johanson, Lutt, sonari pildid) Vt.ka Pukser 3; Pukser 3, Raj. II - , tundmatu puksiiri vrakk Naissaare N otsast 3,7 miili NW poole. Fikseeritud sonariga 01.09.2011.a. Koordinaadid 59*38,2210<U+00B4>N; 24*24,1600<U+00B4>E Vraki pikkus ca 25-30 m ning laius 7,5 meetrit. Identifitseerimata. Vt.ka Mastilaev ning NT 17 (A417)."
2109,"Tutti","Tutti","no","Eesti","1898","20. sajand","puksiir","abilaev","aurulaev","15.6","4.29","30.42","Uhetekiline vedurlaev","1898 - ehitamine, Hamburg, Saksamaa 21.11.1944 - laevahukk 09.04.2001 - avastamine 11.04.2001 - identifitseerimine","yes",59.5630715286054,24.7476852564148,"Tallinna lahes Aegna saare lahistel","miin",1944,NA,"Aegna","saarelahedane","Hukkus Tallinna lahes, Aegna saare lahistel, miinil 21.11.1944.a.","2001","Leitud Meremuuseumi poolt sonariga 09.04.01.a., identifitseeritud 11.04.01.a.","no","Tutti (T-2), Raj. II - , aurik, 1-e tekiline vedurlaev, ehit. Hamburgis 1898.a. 30,42 BRT  L=15,60 m  B=4,29 m, hukkus Tallinna lahes, Aegna saare lahistel, miinil 21.11.1944.a. Leitud Meremuuseumi poolt sonariga 09.04.01.a., identifitseeritud 11.04.01.a. (leitud, A4 lk.42, A253, A254, foto, sonari pilt, A311 lk.59)"
153,"AF-32","AF-32","no","Saksamaa",NA,"20. sajand","puksiir","abilaev",NA,NA,NA,"280",NA,"20.06.1944 - laevahukk","yes",NA,NA,NA,NA,1944,NA,"Narva","rannikulahedane","Hukkus lennukipommi tabamusest, leidmata.",NA,NA,NA,"AF-32 (AFP-32), Raj.I -  , Saksa puksiir, 280 BRT, hukkus lennukipommi tabamusest Narvas 20.06.1944.a. Leidmata. (A92 lk.344)"
2462,"Koloma","Koloma","no","Venemaa",NA,"20. sajand","puksiir","abilaev",NA,NA,NA,NA,NA,"28.-29.08.1941 - laevahukk, Juminda miinivali","yes",NA,NA,"Juminda miinivali",NA,1941,NA,"Juminda miinivali","miinivali",NA,NA,"Leidmata.","no","Koloma, Raj. II -  , Vene puksiir, hukkus Juminda miinivaljal 28.-29. augustil 1941.a. Leidmata.(A1; A324)"
2467,"KP-18","KP-18","no",NA,NA,"20. sajand","puksiir","abilaev",NA,NA,NA,NA,NA,"28.-29.08.1941 - laevahukk","yes",NA,NA,"Juminda miinivali. Praegune asukoht teadmata",NA,1941,NA,"Juminda miinivali","miinivali","Hukkus Juminda miinivaljal 28.-29. augustil 1941.a.",NA,"Leidmata","no","KP-18 Raj. II -  , puksiir, hukkus Juminda miinivaljal 28.-29. augustil 1941.a. Leidmata.(A324)"
755,"Lootskomandor Jurgenson","Lootskomandor Jurgenson","no",NA,"1910","20. sajand","puksiir","abilaev","aurulaev","19.81","5.79","51.51",NA,"1910 - ehitamine 12.03.1917 - laevahukk","yes",NA,NA,"Abruka paralleelil ligikaudu 8 miili ? Viirelaiust S pool","jaa",1917,NA,"Viirelaid","saarelahedane","Uppus jaa surve tottu 12.03.1917.a. teel Virtsust Riiga (Abruka paralleelil), ligikaudu 8 miili (?) Viirelaiust S pool, lebab 14 sulla sugavusel. Asukoht teadmata.",NA,"Asukoht teadmata","no","Lootskomandor Jurgenson, Raj. VII -  , aurupuksiir, ehit. 1910.a.,  51,51 BRT, L=19,81 m  B=5,79 m. Uppus jaa surve tottu 12.03.1917.a. teel Virtsust Riiga (Abruka paralleelil), ligikaudu 8 miili (?) Viirelaiust S pool, lebab 14 sulla sugavusel. Asukoht teadmata. (A76, A87)"
2473,"LP-5","LP-5","no",NA,NA,"20. sajand","puksiir","abilaev",NA,NA,NA,NA,NA,"28.08.1941 - laevahukk","yes",NA,NA,"Juminda miinivalja laaneserv","miin",1941,NA,"Juminda miinivali","miinivali","Hukkus 28. augustil 1941.a. Juminda miinivalja laaneserval.",NA,"Leidmata","no","LP-5, Raj. II -  , puksiir, hukkus 28. augustil 1941.a. Juminda miinivalja laaneserval. Leidmata. (A324)"
2448,"Jupiter","Jupiter","no","Soome","1882","19. sajand","vahilaev",NA,NA,"27.21","5.88","89.79","Vene vahilaev, endine Balti Paastseltsi puksiir-paastelaev","1882- ehitamine, Soome, Varkaus 08.10.1940 - natsionaliseerimine 21.02.1941 - uleviimine Balti laevastiku piirivalvelaevade flotilli 22.06.1941 - uleviimine Balti laevastiku operatiivalluvusse 28.-29.08.1941 - laevahukk, Juminda miinivali","yes",NA,NA,"Juminda miinivali",NA,1941,NA,"Juminda miinivali","miinivali","28.-29. augustil 1941.a. hukkus Juminda miinivaljal",NA,"Leidmata","no","Jupiter (ex Assistant, Karin), Raj. II -  , Vene vahilaev, endine Balti Paastseltsi puksiir-paastelaev, ehit. Soomes,Varkauses 1882.a., 89,79 BRT, pikkus 27,21 ja laius 5,88 meetrit. 8.10.1940.a. natsionaliseeriti ja 21.021941.a. viidi ule Balti laevastiku piirivalvelaevade flotilli. 22.06.1941.a. viidi ule Balti laevastiku operatiivalluvusse. 28.-29. augustil 1941.a. hukkus Juminda miinivaljal. Leidmata. (A1; A324 foto)"
558,"Kehrewieder","Kehrewieder","no","Saksamaa",NA,"20. sajand","traaler","kalalaev",NA,NA,NA,"135",NA,"30.10.1917 - laevahukk","yes",58.6078295880731,23.5292181279164,"Suure vaina idapoolsel kaldal, Kessulaiust SE pool","randumine",1917,NA,"Kessulaid","rannikulahedane","Soitis kaldasse Suure vaina idapoolsel kaldal, Kessulaiust SE pool 30.10.1917.a.",NA,"Leidmata, ilmselt koristatud.","no","Kehrewieder, Raj. V - , saksa kalatraaler 135 brt. soitis kaldasse Suure vaina idapoolsel kaldal, Kessulaiust SE pool 30.10.1917.a. koordinaatides ligikaudu 58*36,5<U+00B4>N; 23*32<U+00B4>E. Leidmata, ilmselt koristatud. (A348,A367)"
592,"Triton","Triton","no","Rootsi","1899","19. sajand","aurik","reisi-kaubalaev","aurulaev","30.47","7","180.34",NA,"1899 - ehitamine, Rootsi 17.09.1941 - laevahukk","yes",NA,NA,"Triigi laht","ohurunnak",1941,NA,"Triigi laht","laht","Hukkus lennurunnaku tagajarjel Triigi lahes 17.09.1941.a.",NA,"Identifitseerimata","no","Triton (BT-591, Rubin, Munksjo), Raj. V -   , kauba-reisilaev, aurik 180,34 BRT, ehit. 1899 .a. Rootsis, L=30,47 m  B=7,0 m. Hukkus lennurunnaku tagajarjel Triigi lahes 17.09.1941.a. Jaanused identifitseerimata. (A2 lk.188, A4 lk.37)"
