"id","year","season","month","date_begin","date_end","date_begin_long","category","category_code","category_2","category_3","category_4","category_extra","description_original","description_comment","location","country"
"G0630",1875,"autumn","10","1","1","1875-10-01","1:1:5:3:, 1:1:4:8:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)",NA,NA,NA,"lv:sl:jelgava:        ","lv"
"D271",1828,"autumn","11","17","18","1828-11-17","1:1:5:4:, 1:1:4:3:, 1:1:4:4:, 1:1:2:1:, 1:1:2:5:","1:1:5:4:","weather description","wind strength","storm (>bf7)",NA,"Sturm aus W, NNW mit Regen und Schnee",NA,"lv:ml:riga:","lv"
"F3357",1897,"spring","5","7","7","1897-05-07","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,"7.skp. lõi pikne Läänemaal Vaimõisa rehe põlema. Põllutöö riista ja masinaid on sisse jäänud.",NA,"ee:we:la:","ee"
"F3165",1890,"summer","8","15","17","1890-08-15","1:1:5:4:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:extrem","15., 16. ja 17. aug. torm Noarootsis. Neli soolalaeva randa aetud, puudest aedadest, katustest tääkimata.",NA,"ee:h:we:noarootsi:","ee"
"G0301",1882,NA,"10","2","2","1882-10-02","1:1:5:3:, 1:1:4:7:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)","1:1:5:3:leicht","Leichter Sturm von Ost",NA,"lv:wl:liepaja:","lv"
"F3179",1890,"autumn","9","26","31","1890-09-26","1:1:5:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:2:1:fenster; 1:2:1:todesopfer_1","Mineval nädalal on jälle nii rasked tormid möllanud, et mitmelt kohalt mereõnnetustest kuulda on. […] Aga ka mandremaal on tormi läbi häda juhtunud. Tallinnas, Vene uulitsas, kiskus tuul teise korra pealt ühe akna lahti, mis uulitsa peale ühe veikses lapse põlve kukkus ja temale surma saatis. 18- mal s.k.p. oli Tallinnas õige kange müristamine ja välgu löömine.",NA,"ee:ne:tallinn:","ee"
"F3358",1897,"summer","6","25","25","1897-06-25","1:1:5:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:stark, 1:2:1:bäume, 1:2:1:gebäude","Helmes. Riidajas möllas 25.junil p.l. kange maru, mis metsadest palju puid maha murdis, vilja ja ilupuid vigastes ja hoonte katuseid lõhkus.",NA,"ee:h:vi:helme:","ee"
"A327",1856,"autumn","11","13","13","1856-11-13","1:1:5:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:2:1:schiff","Der Schooner „Phoenix"" ist in der vergangenen Nacht durch Sturm und Brandung total zerschlagen.",NA,"lv:ml:ri:bolderaja:","lv"
"B228",1860,"spring","5","30","30","1860-05-30","1:1:5:5:","1:1:5:5:","weather description","wind strength",NA,NA,"30.05 Orkan",NA,"ee:we:haapsalu:","ee"
"F3374",1898,"winter","1","14","14","1898-01-14","1:1:5:3:, 1:1:4:2:, 1:1:5:4:","1:1:5:3:","weather description","wind strength","strong breeze (bf6, bf7)","1:1:5:3:stark","Helmes 15. jan. Tali oli meil iseäralik heitlik, täna saadab vihma, maa kirju; Eile [14.I] lõõtsustas kange edelatuul, sadas lund ja tuiskas. Üleeile [13.I] oli vaja, hommiku –17-17ºR; pääle lõunat seisis “Noa laeval” üks ots edelas tõine kirdes. Öösel 9 ja 10 skp. vahel heitis, mitme päevalise musta maa pääle lund, tegi nii kirju saani tee, öö enne seda mässsas kange läänemere torm [8/9. I], mis katuksid lõhkus ja palju vanu puid maha murdis.",NA,"ee:h:vi:helme:","ee"
"F3233",1892,"summer","8","3","3","1892-08-03","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,NA,"Torist. [Pikne on seal Hõbelinna talusse löönud ja korstna ning ahju täiesti kildudeks lõhkunud, 3 lammast maja seina ääres surmanud kuid tulekahju mitte põhjustanud.]","ee:h:se:pa:","ee"
"F3158",1890,"summer","8","14","14","1890-08-14","1:1:2:8:","1:1:2:8:","weather description","precipitation","thunderstorm",NA,NA,"[Valgus No 34, 16.aug. teatab sama, kuid et müristamine ja vihmasadu olid 14.aug. õhtul.]","ee:ne:tallinn:","ee"
"G0676",1879,"winter","12","13","14","1879-12-13","1:1:5:4:, 1:1:4:4:, 1:2:1:","1:1:5:4:","weather description","wind strength","storm (>bf7)","1:1:5:4:stark, 1:2:1:gebäude","In der Nacht vom 13. auf den 14. December tobte hier bei unS ein wüthender, orkanartiger Sturm in der Richtung von NN W nach SS O. Von nennenswerthen Beschädigungen welche dieser Sturm in der Stadt selbst angerichtet, sind uns, außer der Meldung über eine in den Badeanlagen umgefallene 50 Fuß lange Brandmauer, bis jetzt keinerlei weitere zugegangen.",NA,"lv:wl:liepaja:","lv"
