"id","year","season","month","date_begin","date_end","category","category_extra","location","description_original","description_comment","country","category_main"
"G0630",1875,"autumn","10","1","1","1:1:5:3:",NA,"lv:sl:jelgava:        ",NA,NA,"lv","1:1:5"
"D271",1828,"autumn","11","17","18","1:1:5:4:",NA,"lv:ml:riga:","Sturm aus W, NNW mit Regen und Schnee",NA,"lv","1:1:5"
"F3357",1897,"spring","5","7","7","1:1:2:8:",NA,"ee:we:la:","7.skp. loi pikne Laanemaal Vaimoisa rehe polema. Pollutoo riista ja masinaid on sisse jaanud.",NA,"ee","1:1:2"
"F3165",1890,"summer","8","15","17","1:1:5:4:","1:1:5:4:extrem","ee:h:we:noarootsi:","15., 16. ja 17. aug. torm Noarootsis. Neli soolalaeva randa aetud, puudest aedadest, katustest taakimata.",NA,"ee","1:1:5"
"G0301",1882,NA,"10","2","2","1:1:5:3:","1:1:5:3:leicht","lv:wl:liepaja:","Leichter Sturm von Ost",NA,"lv","1:1:5"
"F3179",1890,"autumn","9","26","31","1:1:5:4:","1:2:1:fenster; 1:2:1:todesopfer_1","ee:ne:tallinn:","Mineval nadalal on jalle nii rasked tormid mollanud, et mitmelt kohalt mereonnetustest kuulda on. […] Aga ka mandremaal on tormi labi hada juhtunud. Tallinnas, Vene uulitsas, kiskus tuul teise korra pealt uhe akna lahti, mis uulitsa peale uhe veikses lapse polve kukkus ja temale surma saatis. 18- mal s.k.p. oli Tallinnas oige kange muristamine ja valgu loomine.",NA,"ee","1:1:5"
"F3358",1897,"summer","6","25","25","1:1:5:4:","1:1:5:4:stark, 1:2:1:baume, 1:2:1:gebaude","ee:h:vi:helme:","Helmes. Riidajas mollas 25.junil p.l. kange maru, mis metsadest palju puid maha murdis, vilja ja ilupuid vigastes ja hoonte katuseid lohkus.",NA,"ee","1:1:5"
"A327",1856,"autumn","11","13","13","1:1:5:4:","1:2:1:schiff","lv:ml:ri:bolderaja:","Der Schooner „Phoenix"" ist in der vergangenen Nacht durch Sturm und Brandung total zerschlagen.",NA,"lv","1:1:5"
"B228",1860,"spring","5","30","30","1:1:5:5:",NA,"ee:we:haapsalu:","30.05 Orkan",NA,"ee","1:1:5"
"F3374",1898,"winter","1","14","14","1:1:5:3:","1:1:5:3:stark","ee:h:vi:helme:","Helmes 15. jan. Tali oli meil isearalik heitlik, tana saadab vihma, maa kirju; Eile [14.I] lootsustas kange edelatuul, sadas lund ja tuiskas. Uleeile [13.I] oli vaja, hommiku –17-17<U+00BA>R; paale lounat seisis “Noa laeval” uks ots edelas toine kirdes. Oosel 9 ja 10 skp. vahel heitis, mitme paevalise musta maa paale lund, tegi nii kirju saani tee, oo enne seda masssas kange laanemere torm [8/9. I], mis katuksid lohkus ja palju vanu puid maha murdis.",NA,"ee","1:1:5"
