Year	Authors	Title	Subtitle	ISBN number	Place of publishing	Publisher	Type of document (genre)	Language	Number of pages
2017	Baeza, Amanda	Brume		9789934518492	Rīga	Grafiskie stāsti	Komiksi	Angļu	112
2017	Booger, Olive	Nul		9789934518515	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Gheluwe, Mathilde Van	Spectacular Vermacular		9789934518539	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Lima, Daniel	Sutrama		9789934518430	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Lacko, Martin	Call of Cthulhu		9789934518522	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Pallasvuo, Jaakko	Mirror stage		9789934518560	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Serrao, Catia 	Acquisition		9789934518577	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Kandevica, Līva 	Yellow		9789934518584	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Samplerman	Bad Ball		9789934518591	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Ellsworth, Theo	An exorcism		9789934518546	Rīga	Grafiskie stāsti	Komiksi	Angļu	128
2017		My little Pony	draudzības spēks; komiksu albums	9789934164033	Rīga	EGMONT LATVIJA	Komiksi	Latviešu	96
2017	GG	Valley		9789934518621	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Magán, Andrés	A Friend		9789934518638	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Androutsopoulos, Evangelos	Eviction		9789934518645	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Kyle, Patrick	Night Door		9789934518652	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Zlemeša, Zane	Fenix		9789934518669	Rīga	Grafiskie stāsti	Komiksi	Angļu	64
2017	Samplerman	Fearless Colors		9789934518676	Rīga	Grafiskie stāsti	Komiksi	Angļu	96
2017	Bulling, Paula; Hoffmann, Nina	Share The Love		9789934518683	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Van Sciver, Noah	His Last Comic		9789934518690	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Niewiadomski, Tomasz	Jonah 2017		9789934518706	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Koch, Aidan	Daughter		9789934518713	Rīga	Grafiskie stāsti	Komiksi	Angļu	24
2017	Lohrengel, Hanuka	Pilsētas puķes		9789934149450	Rīga	Johanna Lohrengel	Komiksi	Latviešu	110
2017		Zina #3	Hungarian women making comics		Rīga	Popper	Komiksi	Angļu	44
2017	Osho	Tavas dzīves krāsas	meditatīva & transformatīva krāsojamā grāmata	9789934502286	Rīga	SĒTAVA	Krāsojamās grāmatas pieaugušajiem, mandalas	Latviešu	88
